date,open,high,low,close,volume
2025-03-24,91.55,93.58,91.01,93.23,25103209
2025-03-25,93.78,93.88,90.88,91.17,20148506
2025-03-26,91.22,92.07,90.08,90.24,19904559
2025-03-27,90.08,94.04,89.33,93.69,62010832
2025-03-28,93.69,95.22,92.81,93.42,21712434
2025-04-01,92.32,94.46,92.29,93.53,13402932
2025-04-02,93.98,94.85,92.1,94.6,14393929
2025-04-03,93.83,97.09,93.65,96.21,25310675
2025-04-04,96.3,96.54,93.33,93.89,21189363
2025-04-07,88.42,92.61,87.54,92.25,28484870
2025-04-08,93.78,94.82,92.29,94.18,22062343
2025-04-09,93.98,94.34,91.89,93.06,17823534
2025-04-11,94.66,94.66,93.2,93.37,11396866
2025-04-15,95.63,95.63,93.47,93.87,23242204
2025-04-16,94.17,96.31,93.69,96.05,29347045
2025-04-17,96.0,97.28,95.68,96.7,24865290
2025-04-21,97.28,99.99,97.1,99.42,28222350
2025-04-22,99.95,101.8,99.77,100.47,31808177
2025-04-23,101.27,101.5,98.56,100.11,34299231
2025-04-24,100.0,100.99,99.56,99.81,25468633
2025-04-25,100.48,100.48,95.76,96.49,31662135
2025-04-28,96.49,100.05,96.44,99.29,24194152
2025-04-29,100.4,101.99,99.32,99.74,22707240
2025-04-30,99.45,99.45,96.75,97.39,14741011
2025-05-02,97.39,98.8,96.31,96.91,15935188
2025-05-05,96.6,97.74,96.41,96.6,11864456
2025-05-06,97.15,97.4,91.36,91.81,27001134
2025-05-07,91.55,94.16,90.2,91.6,89567019
2025-05-08,92.81,93.1,88.34,88.79,65955601
2025-05-09,87.47,89.75,86.93,89.38,35798578
2025-05-12,92.81,93.25,91.89,93.08,31855906
2025-05-13,93.08,95.54,92.71,94.93,26387953
2025-05-14,95.58,95.68,94.46,95.12,17627909
2025-05-15,95.58,95.7,95.0,95.55,14979089
2025-05-16,95.92,96.75,95.77,96.12,15230863
2025-05-19,96.26,100.0,96.21,98.07,39689793
2025-05-20,99.03,99.37,97.38,97.66,30343187
2025-05-21,97.69,99.25,97.19,99.03,19338345
2025-05-22,98.92,99.35,96.48,97.54,18817135
2025-05-23,97.94,98.02,96.75,97.55,14814597
2025-05-26,98.16,98.63,97.38,98.12,13008222
2025-05-27,98.35,99.77,97.29,99.15,21239984
2025-05-28,99.42,99.71,98.85,99.41,13261838
2025-05-29,99.91,100.28,98.65,99.43,20854888
2025-05-30,99.82,103.26,98.25,102.84,60718136
2025-06-02,103.5,106.12,103.01,105.41,57785074
2025-06-03,106.12,106.89,104.96,106.36,48035394
2025-06-04,106.43,108.12,105.59,106.46,46696794
2025-06-05,107.02,107.19,105.44,105.95,19273632
2025-06-06,106.31,108.65,105.25,107.08,50759755
2025-06-09,108.08,109.71,107.64,109.04,30600259
2025-06-10,109.57,109.57,108.07,108.62,22892516
2025-06-11,108.62,108.73,106.63,107.19,23164768
2025-06-12,107.39,107.73,104.57,104.98,26281617
2025-06-13,102.24,104.38,102.24,103.61,16086387
2025-06-16,103.5,103.99,101.86,103.78,19801768
2025-06-17,104.23,105.37,102.72,102.9,16226787
2025-06-18,102.9,103.49,102.04,102.51,15465092
2025-06-19,102.12,102.9,99.66,100.08,22033703
2025-06-20,101.0,104.15,100.52,103.04,27593358
2025-06-23,102.09,104.3,102.09,103.91,13950918
2025-06-24,105.08,106.62,105.0,105.22,16440497
