date,open,high,low,close,volume
2025-12-19,2600.0,2663.4,2575.0,2585.9,31422557
2025-12-22,2579.9,2646.5,2530.0,2610.0,5056617
2025-12-23,2613.0,2630.0,2588.0,2609.5,1373947
2025-12-24,2610.0,2665.0,2606.6,2640.6,2419891
2025-12-26,2640.0,2648.0,2601.0,2629.8,689912
2025-12-29,2630.0,2689.0,2616.9,2658.9,1181473
2025-12-30,2649.0,2658.0,2625.3,2641.3,437805
2025-12-31,2641.9,2678.0,2641.0,2661.1,714252
2026-01-01,2660.0,2665.0,2613.4,2631.8,366321
2026-01-02,2632.0,2684.0,2624.0,2662.2,752687
2026-01-05,2658.6,2684.5,2624.2,2677.7,536132
2026-01-06,2648.0,2703.3,2648.0,2695.6,512484
2026-01-07,2695.0,2719.0,2680.1,2695.7,369458
2026-01-08,2699.7,2725.2,2681.0,2718.4,626658
2026-01-09,2705.0,2717.2,2629.2,2664.8,551374
2026-01-12,2649.1,2649.1,2587.0,2629.4,680295
2026-01-13,2622.0,2682.5,2614.1,2671.8,529889
2026-01-14,2665.0,2749.0,2660.0,2736.0,551849
2026-01-16,2810.0,2972.0,2782.5,2935.5,2826103
2026-01-19,2937.0,2977.7,2855.0,2922.1,567969
2026-01-20,2922.0,2922.0,2790.0,2827.9,420807
2026-01-21,2810.0,2850.0,2731.3,2843.3,556931
2026-01-22,2868.0,2895.0,2769.9,2783.1,441528
2026-01-23,2765.0,2815.6,2750.1,2776.9,397935
2026-01-27,2830.0,2830.1,2692.1,2707.1,517433
2026-01-28,2734.1,2860.0,2715.0,2829.0,436274
2026-01-29,2829.0,2942.8,2820.1,2913.8,363609
2026-01-30,2914.7,3012.0,2872.1,2972.6,658235
2026-02-01,2971.9,2971.9,2883.0,2927.1,155030
2026-02-02,2900.0,2949.9,2863.0,2931.9,193016
2026-02-03,3030.0,3131.0,3030.0,3061.3,1018940
2026-02-04,3119.8,3119.8,3040.0,3055.4,549033
2026-02-05,3061.0,3129.0,3020.9,3098.6,532341
2026-02-06,3114.0,3122.7,3040.1,3060.6,208351
2026-02-09,3060.6,3075.1,2966.3,3018.4,413802
2026-02-10,3050.0,3090.0,3006.2,3057.1,215393
2026-02-11,3065.0,3086.9,3032.0,3045.2,434269
2026-02-12,3054.9,3150.6,3033.0,3108.5,671895
2026-02-13,3060.2,3079.9,2974.8,3008.3,568474
2026-02-16,3009.0,3064.0,2936.4,3046.0,230681
2026-02-17,3059.9,3059.9,2991.9,3008.8,186612
2026-02-18,3014.9,3085.0,2992.0,3074.6,216495
2026-02-19,3059.0,3084.6,3006.0,3026.2,172893
2026-02-20,3011.1,3059.9,3000.0,3023.8,204508
2026-02-23,3030.0,3149.9,2992.3,3131.0,285371
2026-02-24,3144.0,3172.0,3111.1,3150.0,522517
2026-02-25,3193.0,3193.0,3089.0,3108.5,329355
2026-02-26,3101.0,3133.9,3050.4,3113.2,267073
2026-02-27,3116.9,3127.9,3069.1,3112.1,270097
2026-03-02,3000.0,3105.0,2999.1,3090.1,308669
2026-03-04,3070.0,3071.0,2902.5,2992.7,537155
2026-03-05,3028.4,3050.0,2985.0,3008.2,247006
2026-03-06,2995.2,3023.0,2977.2,2997.4,343835
2026-03-09,2907.0,2935.7,2855.1,2907.0,481704
2026-03-10,2953.0,3094.9,2932.0,3083.8,357479
2026-03-11,3052.2,3089.0,2995.0,3000.2,280972
2026-03-12,2987.0,2990.0,2905.0,2936.3,630631
2026-03-13,2925.0,3003.0,2845.0,2879.7,795166
2026-03-16,2853.1,2903.6,2819.7,2884.0,248858
2026-03-17,2880.0,3008.6,2826.0,2963.0,948316
2026-03-18,2972.0,3029.9,2942.0,3019.9,280131
2026-03-19,2953.5,2974.3,2804.7,2820.0,395888
2026-03-20,2860.0,2879.7,2790.5,2804.0,336772
2026-03-23,2763.0,2774.5,2651.0,2690.3,467336
2026-03-24,2768.0,2807.6,2680.4,2793.3,419686
2026-03-25,2810.0,2913.3,2800.1,2901.3,447353
2026-03-27,2871.0,2907.0,2820.7,2874.2,689368
2026-03-30,2818.0,2874.0,2738.0,2801.5,331535
2026-04-01,2875.9,2894.0,2758.8,2857.0,557898
2026-04-02,2841.4,2871.5,2742.0,2844.3,531617
2026-04-06,2831.5,2934.0,2796.8,2905.5,439271
2026-04-07,2903.0,3055.0,2882.3,3010.3,460850
2026-04-08,3173.7,3189.0,3095.0,3123.7,1032494
2026-04-09,3159.4,3275.0,3130.2,3251.1,1193723
2026-04-10,3275.0,3430.0,3192.0,3385.5,902003
2026-04-13,3348.6,3400.2,3275.0,3353.5,544470
2026-04-15,3380.0,3397.0,3175.1,3221.0,2401037
2026-04-16,3247.0,3309.0,3212.1,3294.6,816006
2026-04-17,3304.0,3380.0,3260.0,3338.9,647654
2026-04-20,3338.9,3389.1,3272.1,3295.7,381441
2026-04-21,3320.0,3540.9,3308.7,3509.8,794016
2026-04-22,3523.9,3597.5,3409.2,3432.4,445062
2026-04-23,3429.9,3455.0,3322.0,3344.4,261332
2026-04-24,3360.3,3399.0,3279.1,3293.4,291192
2026-04-27,3329.9,3349.0,3255.1,3280.0,174425
