date,open,high,low,close,volume
2025-03-24,1344.9,1412.0,1323.25,1389.8,946920
2025-03-25,1396.7,1459.85,1386.05,1441.1,1139387
2025-03-26,1450.0,1484.0,1430.05,1474.9,486001
2025-03-27,1456.0,1479.85,1443.35,1452.15,307659
2025-03-28,1458.0,1509.0,1425.2,1463.8,451014
2025-04-01,1463.8,1485.9,1450.25,1470.3,172869
2025-04-02,1453.0,1472.05,1439.85,1446.95,106594
2025-04-03,1454.4,1480.0,1436.85,1454.35,121419
2025-04-04,1454.35,1478.0,1433.55,1465.95,193289
2025-04-07,1260.0,1424.0,1260.0,1400.1,332353
2025-04-08,1418.95,1437.5,1415.35,1427.05,744985
2025-04-09,1425.0,1479.9,1411.95,1432.5,282216
2025-04-11,1464.0,1517.0,1439.65,1504.75,625965
2025-04-15,1545.1,1607.0,1480.5,1510.1,1269323
2025-04-16,1512.7,1533.4,1490.5,1513.8,393518
2025-04-17,1513.8,1642.8,1497.6,1583.1,2134560
2025-04-21,1583.1,1665.4,1576.2,1643.9,913068
2025-04-22,1651.1,1672.0,1611.3,1641.5,435184
2025-04-23,1655.0,1697.9,1632.2,1646.7,440824
2025-04-24,1650.0,1662.0,1613.8,1640.8,636382
2025-04-25,1647.6,1648.0,1571.0,1584.9,170421
2025-04-28,1592.7,1598.9,1566.1,1589.0,125013
2025-04-29,1605.0,1619.3,1580.6,1597.5,137278
2025-04-30,1608.0,1717.0,1585.0,1689.1,678197
2025-05-02,1676.7,1732.0,1653.5,1701.9,587564
2025-05-05,1720.0,1729.2,1673.0,1685.1,192500
2025-05-06,1697.0,1718.6,1673.7,1692.4,190311
2025-05-07,1633.8,1724.0,1633.8,1710.0,283068
2025-05-08,1695.0,1752.8,1690.0,1730.0,297043
2025-05-09,1670.0,1740.0,1668.1,1719.7,219058
2025-05-12,1750.0,1777.0,1712.1,1758.3,382475
2025-05-13,1757.0,1767.0,1687.0,1703.3,344402
2025-05-14,1789.9,1789.9,1690.0,1698.7,1087375
2025-05-15,1706.9,1717.0,1674.1,1687.2,370537
2025-05-16,1714.0,1714.0,1648.5,1668.7,536596
2025-05-19,1668.7,1699.9,1651.1,1688.2,271261
2025-05-20,1699.4,1699.4,1659.0,1669.2,290900
2025-05-21,1675.0,1698.5,1662.0,1687.7,110192
2025-05-22,1700.0,1713.4,1685.4,1698.0,361413
2025-05-23,1711.8,1716.6,1666.3,1670.5,108370
2025-05-26,1672.8,1716.3,1670.6,1691.6,148869
2025-05-27,1688.0,1768.0,1672.3,1730.6,533638
2025-05-28,1730.6,1827.1,1726.2,1785.0,1152955
2025-05-29,1803.0,1803.0,1755.0,1789.1,280640
2025-05-30,1796.0,1858.0,1796.0,1830.7,545552
2025-06-02,1829.0,1891.9,1816.1,1850.6,529610
2025-06-03,1842.1,1932.0,1834.6,1887.2,566663
2025-06-04,1883.7,1938.5,1870.6,1880.3,264138
2025-06-05,1895.2,1907.7,1870.9,1878.5,103999
2025-06-06,1864.2,1868.5,1799.4,1819.2,756373
2025-06-09,1823.0,1833.9,1785.0,1793.8,188364
2025-06-10,1793.8,1802.9,1762.0,1765.7,124129
2025-06-11,1769.8,1824.0,1769.8,1801.7,371114
2025-06-12,1820.0,1867.0,1771.5,1781.4,382145
2025-06-13,1768.0,1803.7,1736.6,1783.9,178184
2025-06-16,1771.0,1805.0,1763.8,1768.1,206457
2025-06-17,1775.0,1785.2,1726.1,1739.2,150856
2025-06-18,1740.0,1781.0,1726.6,1751.8,134900
2025-06-19,1751.8,1774.9,1736.4,1748.8,95709
2025-06-20,1749.9,1845.0,1748.8,1819.2,402082
2025-06-23,1816.1,1830.3,1787.9,1796.0,143842
2025-06-24,1813.9,1865.0,1801.5,1855.5,307484
2025-06-25,1855.4,1890.9,1839.6,1869.2,217049
2025-06-26,1868.9,1880.0,1800.0,1812.6,330580
2025-06-27,1825.3,2026.0,1805.0,1960.1,2181397
2025-06-30,1909.1,1975.5,1886.4,1952.7,633699
2025-07-01,1940.0,2052.9,1891.1,1984.6,538528
2025-07-02,1989.8,1999.0,1947.0,1965.2,351276
