date,open,high,low,close,volume
2025-03-24,137.88,139.96,135.56,137.61,282673
2025-03-25,139.88,141.25,137.86,140.32,203390
2025-03-26,140.0,141.74,136.41,138.74,193123
2025-03-27,138.05,141.8,137.5,138.32,163427
2025-03-28,142.7,142.8,138.0,139.63,231360
2025-04-01,139.6,140.76,138.15,138.79,35195
2025-04-02,139.0,142.85,138.09,141.22,133537
2025-04-03,141.22,144.0,139.01,140.03,156757
2025-04-04,138.56,141.73,137.37,139.51,122694
2025-04-07,133.9,136.5,131.9,134.67,150508
2025-04-08,134.68,137.49,134.1,136.02,77019
2025-04-09,136.0,136.63,134.0,135.81,38817
2025-04-11,139.04,140.66,137.01,139.98,116986
2025-04-15,140.0,143.0,140.0,141.34,78936
2025-04-16,142.5,144.0,139.61,140.86,128255
2025-04-17,142.49,143.8,140.72,141.63,113178
2025-04-21,142.6,143.49,141.19,141.9,62738
2025-04-22,141.9,142.32,140.11,140.66,95546
2025-04-23,141.9,144.6,140.61,144.27,218475
2025-04-24,144.6,148.13,144.1,146.91,229319
2025-04-25,145.51,147.83,143.15,144.37,149396
2025-04-28,144.37,146.0,143.66,145.05,92653
2025-04-29,144.5,146.1,141.45,142.0,78362
2025-04-30,140.9,143.2,140.55,142.43,88249
2025-05-02,141.85,142.79,139.33,139.55,62549
2025-05-05,139.61,142.7,139.16,141.32,51994
2025-05-06,142.2,144.15,139.33,142.22,95378
2025-05-07,140.0,140.79,138.3,139.17,104130
2025-05-08,138.26,140.09,135.5,135.89,141285
2025-05-09,133.56,145.0,132.76,144.02,485297
2025-05-12,145.0,146.3,142.73,145.14,114324
2025-05-13,144.1,145.99,142.2,143.97,158755
2025-05-14,143.3,149.16,143.02,145.94,259422
2025-05-15,145.94,148.5,144.71,147.27,135182
2025-05-16,147.27,149.95,146.6,148.48,113313
2025-05-19,148.98,158.0,146.16,152.15,1631614
2025-05-20,149.85,151.69,144.15,145.63,228122
2025-05-21,145.52,146.69,142.15,142.66,127384
2025-05-22,143.09,143.5,140.85,142.26,87607
2025-05-23,142.26,143.62,141.0,142.17,69740
2025-05-26,142.97,143.95,141.5,142.69,62639
2025-05-27,143.3,143.88,141.68,142.66,61769
2025-05-28,142.82,143.54,141.49,142.17,55409
2025-05-29,142.5,143.05,141.08,141.88,52942
2025-05-30,142.0,142.0,140.12,141.01,53023
2025-06-02,140.5,145.83,140.5,143.16,105623
2025-06-03,143.52,145.5,143.51,145.09,89813
2025-06-04,145.34,146.39,144.02,144.4,68320
2025-06-05,144.2,145.42,141.35,142.27,86620
2025-06-06,142.25,143.14,139.7,141.2,134442
2025-06-09,141.96,143.46,140.56,141.34,147228
2025-06-10,141.9,143.44,141.59,142.87,101335
2025-06-11,143.5,144.24,140.97,141.83,77672
2025-06-12,141.83,142.78,140.45,140.99,42344
2025-06-13,141.18,142.0,138.1,140.25,106924
2025-06-16,139.56,142.0,139.56,140.39,56022
2025-06-17,140.45,142.5,139.9,141.72,107483
2025-06-18,141.5,141.5,139.95,140.17,49568
2025-06-19,140.08,140.69,139.96,140.01,36217
2025-06-20,139.92,141.0,139.72,140.35,21047
2025-06-23,138.15,141.5,138.15,140.31,66853
2025-06-24,141.24,143.4,141.02,143.23,162104
2025-06-25,142.51,144.0,141.91,143.16,103009
2025-06-26,143.27,143.27,141.4,141.82,37344
2025-06-27,142.8,143.7,141.5,143.3,65962
2025-06-30,143.86,144.48,141.7,142.34,54037
2025-07-01,142.35,144.99,142.35,144.58,97487
2025-07-02,143.86,144.75,143.0,144.17,83688
2025-07-03,143.72,145.99,141.99,143.36,227278
2025-07-04,143.31,144.01,142.47,143.29,47447
2025-07-07,143.0,144.2,141.99,142.85,51289
2025-07-08,144.2,145.26,142.11,143.26,58004
2025-07-09,143.26,144.9,142.57,143.83,64893
2025-07-10,143.83,145.5,143.01,145.0,86601
2025-07-11,145.2,147.84,142.61,143.54,196165
2025-07-14,144.0,150.0,143.6,148.8,306311
2025-07-15,148.8,150.08,147.26,149.67,169001
2025-07-16,148.55,151.0,148.5,148.84,187033
2025-07-17,149.8,149.9,146.1,146.35,109610
2025-07-18,146.35,147.16,145.11,145.6,53638
2025-07-21,146.79,148.05,144.76,146.76,110887
2025-07-22,147.05,152.99,146.49,150.18,483838
2025-07-23,151.0,153.7,147.43,153.01,264799
2025-07-24,153.0,153.01,150.35,151.31,146117
2025-07-25,150.55,151.28,148.99,150.27,105909
2025-07-28,150.2,152.5,148.61,150.12,152392
2025-07-29,149.5,152.1,148.61,151.47,83293
2025-07-30,151.47,152.49,150.13,150.97,65856
2025-07-31,149.8,150.0,143.39,148.91,349312
2025-08-01,150.4,150.5,147.13,148.93,113006
2025-08-04,150.3,150.3,147.42,150.0,88324
2025-08-05,150.29,150.29,147.69,148.23,83337
2025-08-06,148.51,150.31,145.54,149.56,101548
2025-08-07,149.49,155.0,140.5,149.53,786079
2025-08-08,143.85,144.72,138.27,140.28,402405
2025-08-11,140.39,140.39,135.05,136.37,143511
2025-08-12,136.47,141.14,136.37,140.42,264429
2025-08-13,141.0,147.05,139.15,142.92,386075
2025-08-14,143.0,144.5,141.1,141.75,176803
2025-08-18,142.15,144.8,140.1,141.1,435439
2025-08-19,141.1,142.36,140.61,141.53,54047
2025-08-20,141.0,141.9,139.15,140.59,374777
2025-08-21,140.71,159.45,140.71,155.68,4909967
2025-08-22,156.2,158.72,152.67,157.1,1455652
2025-08-25,158.7,158.7,151.5,151.94,358912
2025-08-26,152.0,155.0,148.9,150.74,516410
2025-08-28,149.61,154.0,149.0,151.92,547314
2025-08-29,151.5,156.7,151.5,154.17,735567
2025-09-01,155.15,155.54,150.6,152.12,361287
2025-09-02,152.85,155.5,151.8,153.96,424619
2025-09-03,155.99,158.0,153.89,155.18,697698
2025-09-04,168.0,168.5,151.8,153.3,2539398
2025-09-05,154.84,158.31,153.68,155.64,643893
2025-09-08,155.9,160.67,155.55,158.53,461079
2025-09-09,158.96,162.9,155.52,160.73,966875
2025-09-10,161.1,161.11,157.03,157.55,396843
2025-09-11,157.2,158.85,155.9,156.12,200696
2025-09-12,156.12,157.69,151.8,153.4,389837
2025-09-15,153.9,159.89,153.63,157.84,520208
2025-09-16,159.25,159.8,157.5,158.17,284360
2025-09-17,158.9,158.9,155.01,155.51,307905
2025-09-18,155.02,162.3,154.3,159.27,853915
2025-09-19,161.0,163.64,158.0,163.09,1045615
2025-09-22,162.5,165.9,160.17,163.87,874240
2025-09-23,163.95,164.2,158.72,159.58,274397
2025-09-24,160.0,160.32,157.0,157.56,198608
2025-09-25,158.0,161.99,156.02,158.3,381249
2025-09-26,159.2,159.2,154.83,156.56,227612
2025-09-29,156.55,156.55,151.5,153.54,321693
2025-09-30,154.15,156.88,152.03,152.77,178326
2025-10-01,152.15,156.5,150.7,154.93,267565
2025-10-03,157.25,163.0,155.22,162.29,497990
2025-10-06,162.3,164.51,157.3,158.26,393755
2025-10-07,159.06,159.52,156.7,157.06,151538
2025-10-08,157.69,160.85,156.3,157.14,236384
2025-10-09,157.7,157.97,155.8,156.58,144147
2025-10-10,155.11,158.5,155.11,157.06,142884
2025-10-13,156.99,156.99,154.73,155.89,132709
2025-10-14,156.5,158.51,153.05,153.8,217147
2025-10-15,154.15,154.99,150.3,151.95,421843
2025-10-16,151.95,158.0,151.95,156.2,300443
2025-10-17,157.2,157.45,155.12,156.73,255541
2025-10-20,157.5,161.0,156.82,158.56,485889
2025-10-21,158.85,162.0,158.85,161.27,167813
2025-10-23,161.27,161.27,157.2,158.12,210399
2025-10-24,159.96,160.0,157.04,159.59,189388
2025-10-27,160.08,163.9,158.5,161.31,709843
2025-10-28,162.0,165.1,159.62,163.41,532848
2025-10-29,163.4,165.2,160.58,164.27,351786
2025-10-30,164.27,166.0,161.64,164.93,315024
2025-10-31,163.0,164.51,161.0,161.64,146726
2025-11-03,161.62,162.89,159.56,160.32,175499
2025-11-04,161.0,161.0,156.0,156.39,319161
2025-11-06,157.4,157.4,153.19,154.7,155927
2025-11-07,153.34,154.68,152.01,152.52,148377
2025-11-10,153.34,156.9,153.02,155.25,232815
2025-11-11,152.8,153.8,148.56,152.68,493579
2025-11-12,152.8,152.81,148.0,148.55,255829
2025-11-13,148.06,152.4,148.06,152.1,138083
2025-11-14,152.0,153.9,149.9,150.81,120089
2025-11-17,152.4,155.25,150.8,153.79,284621
2025-11-18,152.49,157.9,152.49,157.61,404338
